Unnamed-0,Unnamed-1,As-of-December-31,Unnamed-3
,2017,2018,2019
Employees,,,
Engineers,"11,846","11,651","11,328"
Technicians,"7,432","7,494","7,416"
Administrative Staff,798,784,833
Total,"20,076","19,929","19,577"
