in-thousands-of,2019,2018
Balances due (to)/from Golar Partners and its subsidiaries (iii),"(2,708)","4,091"
Methane Princess lease security deposit movements (vii),"(2,253)","(2,835)"
Total,"(4,961)","1,256"
