Title,Identity-of-Person,No-of-Shares,Percent-of-Class-1
Common,Hansson family(2),"4,380,659",2.98%
,Jim Kelly,,* 
,Richard Vietor,,* 
,David Workman,,* 
,Bjørn Giæver,,* 
