Unnamed-0,Unnamed-1,Fair-Value-Measurement-Using,Unnamed-3,Unnamed-4,Unnamed-5
,Carrying Value,Level 1,Level 2,Level 3,Total
Marketable securities,0,0,0,0,0
Derivative warrants liabilities,"$(332,222)",$-,$-,"$(332,222)","$(332,222)"
