Unnamed-0,For-the-year-ended,Unnamed-2
,2017,2018
Amounts in thousands of U.S. Dollars,,
Pool gross revenues (included in Revenues),"38,046","102,253"
Pool gross voyage expenses and commissions (included in Voyage expenses and commissions),"(9,122)","(10,154)"
GasLog’s adjustment for net pool allocation (included in Net pool allocation),"7,254","17,818"
GasLog’s total net pool performance,"36,178","109,917"
