Unnamed-0,Unnamed-1,Fair-Value-Fair-Value-Measurements-Using-Significant-Unobservable-Inputs-Level-3,Unnamed-3
,Derivative Contracts,Convertible Debt Securities,Total
"Balances, January 31, 2018",$1.0,$7.8,$8.8
Settlements,—,(3.5),(3.5)
(Losses) Gains included in earnings (1),(0.2),0.5,0.3
Losses included in OCI,—,(0.4),(0.4)
"Balances, January 31, 2019",$0.8,$4.4,$5.2
