Unnamed-0,Unnamed-1,Year-Ended,Unnamed-3
,"January 3, 2020","December 28, 2018","December 29, 2017"
,,(in millions),
Basic weighted average number of shares outstanding,143,151,152
Dilutive common share equivalents—stock options and other stock awards,2,2,2
Diluted weighted average number of shares outstanding,145,153,154
