Unnamed-0,Unnamed-1,For-the-year-ended-December-31,Unnamed-3
,2017,2018,2019
Revenues from fixed rate time charters,"485,961","515,324","558,266"
Revenues from variable rate time charters,—,—,"64,334"
Revenues from The Cool Pool Limited (GasLog vessels),"38,046","102,253","45,253"
Revenues from vessel management services,"1,222",767,784
Total,"525,229","618,344","668,637"
